"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2008-12-24,LQZ08,"ICE NewCastle Coal December 2008 Futures",77.95,78,2008-12-17,72.3,2008-12-05,+7.81%,2008-12-24
2009-01-30,LQF09,"ICE NewCastle Coal January 2009 Futures",82.6,83.5,2009-01-16,68.15,2008-12-05,+21.20%,2009-01-30
2009-02-27,LQG09,"ICE NewCastle Coal February 2009 Futures",72.35,80.6,2009-01-06,67.65,2008-12-05,+6.95%,2009-02-27
2009-03-27,LQH09,"ICE NewCastle Coal March 2009 Futures",61.5,79.85,2009-01-06,61.35,2009-03-06,-9.09%,2009-03-27
2009-04-24,LQJ09,"ICE NewCastle Coal April 2009 Futures",62.35,79.85,2009-01-06,58.15,2009-03-16,-7.97%,2009-04-24
2009-05-29,LQK09,"ICE NewCastle Coal May 2009 Futures",64.12,79.8,2009-01-06,57.6,2009-03-16,-5.15%,2009-05-29
2009-06-26,LQM09,"ICE NewCastle Coal June 2009 Futures",71.95,79.8,2009-01-06,57.4,2009-03-16,+6.28%,2009-06-26
2009-07-31,LQN09,"ICE NewCastle Coal July 2009 Futures",73.7,79.75,2009-01-06,57.9,2009-03-16,+8.86%,2009-07-31
2009-08-28,LQQ09,"ICE NewCastle Coal August 2009 Futures",72.35,79.75,2009-01-06,57.9,2009-03-16,+6.87%,2009-08-28
2009-09-25,LQU09,"ICE NewCastle Coal September 2009 Futures",67.95,79.75,2009-01-06,58.15,2009-03-17,+0.37%,2009-09-25
2009-10-30,LQV09,"ICE NewCastle Coal October 2009 Futures",72.3,80,2009-06-10,59.4,2009-03-16,+6.72%,2009-10-30
2009-11-27,LQX09,"ICE NewCastle Coal November 2009 Futures",80.1,81,2009-06-10,59.4,2009-03-16,+18.23%,2009-11-27
2009-12-24,LQZ09,"ICE NewCastle Coal December 2009 Futures",81.6,82.7,2009-11-18,59.4,2009-03-16,+11.63%,2009-12-24
2010-01-29,LQF10,"ICE NewCastle Coal January 2010 Futures",95.3,102.45,2010-01-07,60,2009-03-02,+38.42%,2010-01-29
2010-02-26,LQG10,"ICE NewCastle Coal February 2010 Futures",93.85,102.45,2010-01-07,60,2009-03-02,+44.50%,2010-02-26
2010-03-26,LQH10,"ICE NewCastle Coal March 2010 Futures",94.65,102.45,2010-01-07,66.6,2009-03-30,+35.60%,2010-03-26
2010-04-30,LQJ10,"ICE NewCastle Coal April 2010 Futures",103.85,104.95,2010-04-27,68.65,2009-09-04,+45.86%,2010-04-30
2010-05-28,LQK10,"ICE NewCastle Coal May 2010 Futures",101.6,109.5,2010-05-05,68.85,2009-09-04,+34.34%,2010-05-28
2010-06-25,LQM10,"ICE NewCastle Coal June 2010 Futures",99.65,109.4,2010-04-26,69,2009-09-04,+27.10%,2010-06-25
2010-07-30,LQN10,"ICE NewCastle Coal July 2010 Futures",96.2,109.25,2010-05-04,69.9,2009-09-04,+23.18%,2010-07-30
2010-08-27,LQQ10,"ICE NewCastle Coal August 2010 Futures",90.4,109.25,2010-05-04,70.05,2009-09-04,+22.33%,2010-08-27
2010-09-24,LQU10,"ICE NewCastle Coal September 2010 Futures",94.75,109.25,2010-05-04,76.35,2009-09-25,+24.67%,2010-09-24
2010-10-29,LQV10,"ICE NewCastle Coal October 2010 Futures",97.4,109.65,2010-05-04,79.6,2009-11-03,+19.22%,2010-10-29
2010-11-26,LQX10,"ICE NewCastle Coal November 2010 Futures",107.05,112.75,2010-11-15,83,2009-12-04,+27.90%,2010-11-26
2010-12-31,LQZ10,"ICE NewCastle Coal December 2010 Futures",122.65,122.65,2010-12-31,86.7,2010-02-08,+35.67%,2010-12-31
2011-01-28,LQF11,"ICE NewCastle Coal January 2011 Futures",130.35,139.05,2011-01-10,87.8,2010-02-08,+48.04%,2011-01-28
2011-02-25,LQG11,"ICE NewCastle Coal February 2011 Futures",129,137.6,2011-01-11,90.15,2010-03-25,+39.91%,2011-02-25
2011-03-25,LQH11,"ICE NewCastle Coal March 2011 Futures",125.8,135.75,2011-01-10,90.6,2010-03-26,+39.55%,2011-03-25
2011-04-28,LQJ11,"ICE NewCastle Coal April 2011 Futures",122.8,134.8,2011-01-10,93.75,2010-08-16,+16.40%,2011-04-28
2011-05-27,LQK11,"ICE NewCastle Coal May 2011 Futures",120.35,134.25,2011-01-10,93.75,2010-08-16,+22.56%,2011-05-27
2011-06-24,LQM11,"ICE NewCastle Coal June 2011 Futures",120.4,133.15,2011-01-10,93.75,2010-08-16,+21.62%,2011-06-24
2011-07-29,LQN11,"ICE NewCastle Coal July 2011 Futures",121.05,130.05,2011-03-16,95.93,2010-09-10,+23.27%,2011-07-29
2011-08-26,LQQ11,"ICE NewCastle Coal August 2011 Futures",120.6,130.05,2011-03-16,95.93,2010-09-10,+23.95%,2011-08-26
2011-09-30,LQU11,"ICE NewCastle Coal September 2011 Futures",123.2,130.05,2011-03-16,98.13,2010-10-04,+24.89%,2011-09-30
2011-10-28,LQV11,"ICE NewCastle Coal October 2011 Futures",119.75,131.65,2011-03-16,103.85,2010-10-29,+15.37%,2011-10-28
2011-11-25,LQX11,"ICE NewCastle Coal November 2011 Futures",114.5,131.65,2011-03-16,106.65,2010-11-26,+7.56%,2011-11-25
2011-12-30,LQZ11,"ICE NewCastle Coal December 2011 Futures",112.25,131.65,2011-03-16,109.25,2011-11-25,-7.54%,2011-12-30
2012-01-27,LQF12,"ICE NewCastle Coal January 2012 Futures",118.1,131.4,2011-03-16,109.1,2011-11-25,+1.37%,2012-01-27
2012-02-24,LQG12,"ICE NewCastle Coal February 2012 Futures",118,131.4,2011-03-16,108.95,2011-11-25,-3.67%,2012-02-24
2012-03-30,LQH12,"ICE NewCastle Coal March 2012 Futures",107,131.3,2011-04-04,106.8,2012-03-13,-16.05%,2012-03-30
2012-04-27,LQJ12,"ICE NewCastle Coal April 2012 Futures",102.95,131.85,2011-05-03,102.7,2012-04-23,-20.41%,2012-04-27
2012-05-25,LQK12,"ICE NewCastle Coal May 2012 Futures",98.5,130.35,2011-06-13,96.95,2012-05-23,-21.58%,2012-05-25
2012-06-29,LQM12,"ICE NewCastle Coal June 2012 Futures",88.4,128.65,2011-07-05,87.2,2012-06-18,-30.86%,2012-06-29
2012-07-27,LQN12,"ICE NewCastle Coal July 2012 Futures",88.4,127.35,2011-08-31,84.15,2012-06-18,-30.50%,2012-07-27
2012-08-31,LQQ12,"ICE NewCastle Coal August 2012 Futures",91.75,127.35,2011-08-31,85.1,2012-06-18,-26.60%,2012-08-31
2012-09-28,LQU12,"ICE NewCastle Coal September 2012 Futures",89.5,122.4,2011-09-29,85.9,2012-06-18,-26.94%,2012-09-28
2012-10-26,LQV12,"ICE NewCastle Coal October 2012 Futures",83.25,119.25,2011-11-07,82.35,2012-10-15,-28.85%,2012-10-26
2012-11-30,LQX12,"ICE NewCastle Coal November 2012 Futures",85.9,115.95,2011-12-09,82.45,2012-10-15,-23.81%,2012-11-30
2012-12-28,LQZ12,"ICE NewCastle Coal December 2012 Futures",93.55,115.85,2012-01-30,84.85,2012-11-02,-18.37%,2012-12-28
2013-01-25,LQF13,"ICE NewCastle Coal January 2013 Futures",93.25,116.45,2012-01-30,86.2,2012-11-02,-18.27%,2013-01-25
2013-02-22,LQG13,"ICE NewCastle Coal February 2013 Futures",94.5,114.95,2012-03-30,88.1,2012-10-29,-16.45%,2013-02-22
2013-03-28,LQH13,"ICE NewCastle Coal March 2013 Futures",90.65,114.95,2012-03-30,87.9,2012-10-29,-19.92%,2013-03-28
2013-04-26,LQJ13,"ICE NewCastle Coal April 2013 Futures",86.95,109.8,2012-04-27,86.9,2013-04-02,-21.17%,2013-04-26
2013-05-31,LQK13,"ICE NewCastle Coal May 2013 Futures",87.7,101.1,2012-05-29,85.25,2013-04-18,-12.12%,2013-05-31
2013-06-28,LQM13,"ICE NewCastle Coal June 2013 Futures",83,99.6,2012-08-09,82.95,2013-06-24,-13.27%,2013-06-28
2013-07-26,LQN13,"ICE NewCastle Coal July 2013 Futures",77.25,101.95,2012-08-09,76.45,2013-07-10,-20.48%,2013-07-26
2013-08-30,LQQ13,"ICE NewCastle Coal August 2013 Futures",78.55,100.8,2012-09-03,75.9,2013-07-12,-21.25%,2013-08-30
2013-09-27,LQU13,"ICE NewCastle Coal September 2013 Futures",78.4,99.5,2012-09-28,76.1,2013-07-12,-20.89%,2013-09-27
2013-10-25,LQV13,"ICE NewCastle Coal October 2013 Futures",81.45,99,2012-11-16,76.6,2013-08-01,-15.64%,2013-10-25
2013-11-29,LQX13,"ICE NewCastle Coal November 2013 Futures",84.55,98.7,2012-12-19,77.35,2013-08-05,-13.42%,2013-11-29
2013-12-27,LQZ13,"ICE NewCastle Coal December 2013 Futures",85.95,96.85,2013-01-02,77.75,2013-08-05,-11.07%,2013-12-27
2014-01-31,LQF14,"ICE NewCastle Coal January 2014 Futures",82.35,97.25,2013-02-01,79.7,2013-08-28,-15.67%,2014-01-31
2014-02-28,LQG14,"ICE NewCastle Coal February 2014 Futures",77.55,95.25,2013-03-01,77.25,2014-02-26,-19.01%,2014-02-28
2014-03-28,LQH14,"ICE NewCastle Coal March 2014 Futures",74.35,92.3,2013-04-12,72.65,2014-03-10,-17.57%,2014-03-28
2014-04-25,LQJ14,"ICE NewCastle Coal April 2014 Futures",73.4,91,2013-04-26,71.8,2014-03-10,-19.74%,2014-04-25
2014-05-30,LQK14,"ICE NewCastle Coal May 2014 Futures",73.9,89.5,2013-05-29,71.6,2014-03-10,-17.84%,2014-05-30
2014-06-27,LQM14,"ICE NewCastle Coal June 2014 Futures",71.9,85.05,2013-10-23,71.85,2014-06-26,-13.89%,2014-06-27
2014-07-25,LQN14,"ICE NewCastle Coal July 2014 Futures",69.3,85.45,2013-09-26,68.9,2014-07-16,-18.47%,2014-07-25
2014-08-29,LQQ14,"ICE NewCastle Coal August 2014 Futures",69.25,85.45,2013-09-26,67.05,2014-07-16,-15.96%,2014-08-29
2014-09-26,LQU14,"ICE NewCastle Coal September 2014 Futures",66.3,85.2,2013-09-30,65.9,2014-09-12,-22.41%,2014-09-26
2014-10-31,LQV14,"ICE NewCastle Coal October 2014 Futures",64.3,85.5,2013-12-12,63.9,2014-10-21,-23.27%,2014-10-31
2014-11-28,LQX14,"ICE NewCastle Coal November 2014 Futures",63.45,85.5,2013-12-12,61.9,2014-11-06,-23.78%,2014-11-28
2014-12-24,LQZ14,"ICE NewCastle Coal December 2014 Futures",63.25,84.75,2013-12-31,62.05,2014-11-07,-25.37%,2014-12-24
2015-01-30,LQF15,"ICE NewCastle Coal January 2015 Futures",62.45,81.2,2014-01-31,60.05,2015-01-14,-23.79%,2015-01-30
2015-02-27,LQG15,"ICE NewCastle Coal February 2015 Futures",71.05,78.7,2014-03-03,57.55,2015-01-16,-9.32%,2015-02-27
2015-03-27,LQH15,"ICE NewCastle Coal March 2015 Futures",63.3,78.65,2014-05-14,56.2,2015-01-16,-17.90%,2015-03-27
2015-04-24,LQJ15,"ICE NewCastle Coal April 2015 Futures",58.55,78.9,2014-05-19,54.65,2015-04-10,-25.27%,2015-04-24
2015-05-29,LQK15,"ICE NewCastle Coal May 2015 Futures",60.05,77.35,2014-05-29,53.2,2015-04-08,-22.72%,2015-05-29
2015-06-26,LQM15,"ICE NewCastle Coal June 2015 Futures",60.2,73.9,2014-06-27,52.05,2015-04-08,-18.10%,2015-06-26
2015-07-31,LQN15,"ICE NewCastle Coal July 2015 Futures",60.3,74.9,2014-08-08,51.85,2015-04-08,-18.07%,2015-07-31
2015-08-28,LQQ15,"ICE NewCastle Coal August 2015 Futures",58.5,73.4,2014-08-29,51.7,2015-04-08,-20.79%,2015-08-28
2015-09-25,LQU15,"ICE NewCastle Coal September 2015 Futures",57.55,68.7,2014-09-26,51.7,2015-04-08,-16.41%,2015-09-25
2015-10-30,LQV15,"ICE NewCastle Coal October 2015 Futures",53.05,66.35,2014-10-31,51.95,2015-04-08,-20.46%,2015-10-30
2015-11-27,LQX15,"ICE NewCastle Coal November 2015 Futures",52.85,65.2,2014-11-28,51.95,2015-04-08,-19.07%,2015-11-27
2015-12-24,LQZ15,"ICE NewCastle Coal December 2015 Futures",52.1,62.85,2015-02-16,51.95,2015-04-08,-14.38%,2015-12-24
2016-01-29,LQF16,"ICE NewCastle Coal January 2016 Futures",48.8,62.55,2015-02-16,48.8,2016-01-29,-12.93%,2016-01-29
2016-02-26,LQG16,"ICE NewCastle Coal February 2016 Futures",50.45,62.35,2015-02-27,49.2,2016-01-13,-15.14%,2016-02-26
2016-03-24,LQH16,"ICE NewCastle Coal March 2016 Futures",52.3,60.25,2015-06-30,47.95,2016-01-13,-3.68%,2016-03-24
2016-04-29,LQJ16,"ICE NewCastle Coal April 2016 Futures",50.75,58.35,2015-06-30,46.9,2016-01-13,-7.89%,2016-04-29
2016-05-27,LQK16,"ICE NewCastle Coal May 2016 Futures",51.35,58.35,2015-06-30,45.8,2016-01-25,-6.21%,2016-05-27
2016-06-24,LQM16,"ICE NewCastle Coal June 2016 Futures",52.9,58.35,2015-06-30,44.5,2016-01-25,-8.71%,2016-06-24
2016-07-29,LQN16,"ICE NewCastle Coal July 2016 Futures",61.15,61.3,2016-07-15,43.9,2016-02-16,+8.61%,2016-07-29
2016-08-26,LQQ16,"ICE NewCastle Coal August 2016 Futures",67.15,68.3,2016-08-12,43.9,2016-02-16,+29.01%,2016-08-26
2016-09-30,LQU16,"ICE NewCastle Coal September 2016 Futures",72.2,72.65,2016-09-21,43.9,2016-02-16,+43.97%,2016-09-30
2016-10-28,LQV16,"ICE NewCastle Coal October 2016 Futures",93.95,94.1,2016-10-27,42.15,2016-01-20,+93.71%,2016-10-28
2016-11-25,LQX16,"ICE NewCastle Coal November 2016 Futures",103.75,115,2016-11-01,42.15,2016-01-20,+120.51%,2016-11-25
2016-12-30,LQZ16,"ICE NewCastle Coal December 2016 Futures",88.4,112.25,2016-11-01,42.15,2016-01-20,+93.86%,2016-12-30
2017-01-27,LQF17,"ICE NewCastle Coal January 2017 Futures",83.75,106,2016-11-01,41.35,2016-02-09,+94.09%,2017-01-27
2017-02-24,LQG17,"ICE NewCastle Coal February 2017 Futures",80,100,2016-11-01,41.85,2016-02-25,+91.16%,2017-02-24
2017-03-31,LQH17,"ICE NewCastle Coal March 2017 Futures",80.75,95.4,2016-11-01,46.15,2016-04-07,+72.73%,2017-03-31
2017-04-28,LQJ17,"ICE NewCastle Coal April 2017 Futures",83.55,90.4,2017-04-04,49.9,2016-05-10,+66.27%,2017-04-28
2017-05-26,LQK17,"ICE NewCastle Coal May 2017 Futures",74.45,89.1,2017-04-06,52.45,2016-05-27,+42.35%,2017-05-26
2017-06-30,LQM17,"ICE NewCastle Coal June 2017 Futures",81,88.75,2016-11-07,59.85,2016-07-11,+36.82%,2017-06-30
2017-07-28,LQN17,"ICE NewCastle Coal July 2017 Futures",87.2,87.3,2017-07-27,59.8,2016-08-05,+33.44%,2017-07-28
2017-08-25,LQQ17,"ICE NewCastle Coal August 2017 Futures",98.6,98.6,2017-08-25,60.75,2016-09-12,+62.71%,2017-08-25
2017-09-29,LQU17,"ICE NewCastle Coal September 2017 Futures",97.25,101,2017-09-13,64.5,2016-12-07,+42.28%,2017-09-29
2017-10-27,LQV17,"ICE NewCastle Coal October 2017 Futures",97.45,99.2,2017-09-14,62.6,2016-12-07,+39.71%,2017-10-27
2017-11-24,LQX17,"ICE NewCastle Coal November 2017 Futures",96.55,100.2,2017-11-02,62.6,2016-12-07,+45.52%,2017-11-25
2017-12-29,LQZ17,"ICE NewCastle Coal December 2017 Futures",100.8,101.2,2017-12-28,70.7,2017-05-15,+32.20%,2017-12-29
2018-01-26,LQF18,"ICE NewCastle Coal January 2018 Futures",106.5,107.05,2018-01-16,70.6,2017-05-15,+38.49%,2018-01-26
2018-02-23,LQG18,"ICE NewCastle Coal February 2018 Futures",105.1,109.65,2018-01-29,70.1,2017-05-15,+34.31%,2018-02-23
2018-03-29,LQH18,"ICE NewCastle Coal March 2018 Futures",96.4,108.15,2018-02-23,69.2,2017-05-15,+27.09%,2018-04-01
2018-04-27,LQJ18,"ICE NewCastle Coal April 2018 Futures",93.65,106.05,2018-01-29,67.9,2017-05-15,+27.33%,2018-04-29
2018-05-25,LQK18,"ICE NewCastle Coal May 2018 Futures",105.45,105.45,2018-05-25,67.6,2017-05-26,+55.30%,2018-05-25
2018-06-29,LQM18,"ICE NewCastle Coal June 2018 Futures",114.4,116,2018-06-14,69.2,2017-06-30,+64.84%,2018-06-29
2018-07-27,LQN18,"ICE NewCastle Coal July 2018 Futures",119.9,119.9,2018-07-27,76.85,2017-08-08,+59.23%,2018-07-29
2018-08-31,LQQ18,"ICE NewCastle Coal August 2018 Futures",118,118.9,2018-08-27,78.45,2017-08-31,+45.23%,2018-08-31
2018-09-28,LQU18,"ICE NewCastle Coal September 2018 Futures",113.85,116.45,2018-08-29,80.75,2017-09-29,+38.17%,2018-09-28
2018-10-26,LQV18,"ICE NewCastle Coal October 2018 Futures",109.65,115.55,2018-09-11,83.75,2017-11-17,+26.32%,2018-10-26
2018-11-30,LQX18,"ICE NewCastle Coal November 2018 Futures",101.7,115.1,2018-10-01,84.95,2018-03-26,+17.98%,2018-11-30
2018-12-28,LQZ18,"ICE NewCastle Coal December 2018 Futures",101.9,115.4,2018-10-04,84.6,2018-03-26,+13.22%,2018-12-28
2019-01-25,LQF19,"ICE NewCastle Coal January 2019 Futures",98.75,115.45,2018-10-03,84.35,2018-03-27,+3.19%,2019-01-25
2019-02-22,LQG19,"ICE NewCastle Coal February 2019 Futures",95.05,115.9,2018-10-03,83.7,2018-03-27,+2.04%,2019-02-22
2019-03-29,LQH19,"ICE NewCastle Coal March 2019 Futures",92.75,114.4,2018-10-03,84.35,2018-04-03,+11.14%,2019-03-29
2019-04-26,LQJ19,"ICE NewCastle Coal April 2019 Futures",85.2,112.85,2018-10-04,77.7,2019-04-04,-6.78%,2019-04-26
2019-05-31,LQK19,"ICE NewCastle Coal May 2019 Futures",83.4,111.6,2018-10-04,78.9,2019-04-04,-12.07%,2019-05-31
