"YearMonth","Coal_Price","Oil_Price","Gas_Price","Coal","Gas","Oil"
2008-12-01,77.95,33.87,6.136,NA,NA,NA
2009-01-01,82.6,38.74,4.476,NA,NA,NA
2009-02-01,72.35,38.94,4.056,NA,NA,NA
2009-03-01,61.5,51.06,3.631,NA,NA,NA
2009-04-01,62.35,46.51,3.321,NA,NA,NA
2009-05-01,64.12,59.65,3.538,NA,NA,NA
2009-06-01,71.95,66.93,3.949,NA,NA,NA
2009-07-01,73.7,64.72,3.379,NA,NA,NA
2009-08-01,72.35,72.54,2.843,NA,NA,NA
2009-09-01,67.95,71.55,3.73,NA,NA,NA
2009-10-01,72.3,79.09,4.289,NA,NA,NA
2009-11-01,80.1,76.72,4.486,NA,NA,NA
2009-12-01,81.6,72.47,5.814,NA,NA,NA
2010-01-01,95.3,77.62,5.274,NA,NA,NA
2010-02-01,93.85,80.16,4.816,NA,NA,NA
2010-03-01,94.65,81.25,3.842,NA,NA,NA
2010-04-01,103.85,83.45,4.271,NA,NA,NA
2010-05-01,101.6,68.01,4.155,NA,NA,NA
2010-06-01,99.65,77.21,4.717,NA,NA,NA
2010-07-01,96.2,77.44,4.774,NA,NA,NA
2010-08-01,90.4,73.46,3.651,NA,NA,NA
2010-09-01,94.75,73.52,3.837,NA,NA,NA
2010-10-01,97.4,81.77,3.292,NA,NA,NA
2010-11-01,107.05,81.51,4.267,NA,NA,NA
2010-12-01,122.65,88.81,4.216,NA,NA,NA
2011-01-01,130.35,88.86,4.316,NA,NA,NA
2011-02-01,129,93.57,3.793,NA,NA,NA
2011-03-01,125.8,104,4.24,NA,NA,NA
2011-04-01,122.8,108.15,4.377,NA,NA,NA
2011-05-01,120.35,99.49,4.326,NA,NA,NA
2011-06-01,120.4,93.4,4.357,NA,NA,NA
2011-07-01,121.05,98.14,4.37,NA,NA,NA
2011-08-01,120.6,84.12,3.857,NA,NA,NA
2011-09-01,123.2,86.89,3.759,NA,NA,NA
2011-10-01,119.75,85.3,3.524,NA,NA,NA
2011-11-01,114.5,97.41,3.364,NA,NA,NA
2011-12-01,112.25,97.22,3.084,NA,NA,NA
2012-01-01,118.1,98.46,2.678,129090989.81,1016599.07,2477158.04
2012-02-01,118,105.84,2.446,113872046.89,1044232.6,1901745.33
2012-03-01,107,105.61,2.191,105525546.78,1076271.59,1541354.13
2012-04-01,102.95,103.05,2.036,96285440.67,1057214.82,1503233.37
2012-05-01,98.5,91.66,2.429,115982646.58,1002135.79,1729816.15
2012-06-01,88.4,81.8,2.774,131261036.05,972410.42,2067697.22
2012-07-01,88.4,91.44,3.01,160450262.53,1042026.43,2339698.76
2012-08-01,91.75,96.68,2.634,152181055.16,1049940.21,2117982.36
2012-09-01,89.5,91.87,3.023,125588608.05,903670.38,1860196.96
2012-10-01,83.25,88.73,3.471,120999338.76,894958.31,1805123.87
2012-11-01,85.9,86.67,3.696,128727065.7,875494.99,1809861.44
2012-12-01,93.55,89.51,3.354,134078907.57,962630.47,2035673.81
2013-01-01,93.25,96.24,3.226,138104821.08,1143595.83,2774719.7
2013-02-01,94.5,94.46,3.427,123546804.84,968226.42,1997085.9
2013-03-01,90.65,92.96,3.976,130633560.36,1070052.42,1997036.69
2013-04-01,86.95,88.76,4.152,111834682.54,1019725.93,1885462.61
2013-05-01,87.7,96.16,4.148,119512500,1087939.74,2411587.67
2013-06-01,83,95.4,3.707,138283216.03,1047531.21,2342069.72
2013-07-01,77.25,106.91,3.459,152866852.7,1148253.46,2812306.34
2013-08-01,78.55,104.96,3.567,149426052.9,1143066.32,2448499.31
2013-09-01,78.4,104.67,3.498,133110437.29,1086627.45,2186181.83
2013-10-01,81.45,97.8,3.496,120996392.94,1071517.53,2018435.49
2013-11-01,84.55,93.33,3.818,120939729.75,1060372.59,1839734.26
2013-12-01,85.95,98.77,4.407,141859665.37,1006028.26,2451324.22
2014-01-01,82.35,94.99,5.557,157315786.75,943275.46,7221608.51
2014-02-01,77.55,102.92,4.855,143637763.81,759879.13,2806482.35
2014-03-01,74.35,99.43,4.584,136781118.83,847319.26,3298074.9
2014-04-01,73.4,102.13,4.795,109590975.74,784014.95,1721091.4
2014-05-01,73.9,102.44,4.619,119033209.85,936100.52,2032192.31
2014-06-01,71.9,107.26,4.4,138059784.51,962287.15,2034080.91
2014-07-01,69.3,104.42,3.808,150006987.99,1069242.22,2052028.89
2014-08-01,69.25,96.07,3.957,148881703.09,1064335.13,2074137.42
2014-09-01,66.3,91.52,3.984,126484123.1,1104037.35,1913997.57
2014-10-01,64.3,82.81,3.728,111838275.68,1034287.34,1503257.65
2014-11-01,63.45,75.58,4.282,119351425.3,1012399.64,1740588.2
2014-12-01,63.25,56.52,3.189,124715458.47,1060659.96,2091327.79
2015-01-01,62.45,46.39,2.866,132450521,1246343,2972967
2015-02-01,71.05,50.34,2.894,126976832,1024980,6320621
2015-03-01,63.3,45.72,2.59,108487539,1090601,1778491
2015-04-01,58.55,55.26,2.517,88989143,979333,1727682
2015-05-01,60.05,57.26,2.815,104584527,1098725,1938775
2015-06-01,60.2,59.68,2.773,125673114,1117609,1860497
2015-07-01,60.3,50.36,2.886,139099869,1235443,2304180
2015-08-01,58.5,41.14,2.638,134670309,1195578,2133207
2015-09-01,57.55,45.83,2.563,117985632,1210120,2034306
2015-10-01,53.05,45.55,2.033,96758504,906478,1771192
2015-11-01,52.85,40.39,2.206,87227136,901669,1709888
2015-12-01,52.1,34.74,2.372,89495073,1109818,1696944
2016-01-01,48.8,26.55,2.189,113459380,1194850,2361453
2016-02-01,50.45,31.48,1.711,92704808,1061558,2209303
2016-03-01,52.3,39.91,1.903,72172527,1197353,1801055
2016-04-01,50.75,42.63,1.995,72112862,1132001,1839050
2016-05-01,51.35,47.75,1.963,81694510,1053317,1958154
2016-06-01,52.9,48.85,2.917,116034384,1043219,1976789
2016-07-01,61.15,44.94,2.672,136316434,1076852,2321549
2016-08-01,67.15,47.05,2.853,135634733,1063922,2335463
2016-09-01,72.2,43.44,2.952,114137768,1020329,1926135
2016-10-01,93.95,50.43,2.764,99193944,913244,1571377
2016-11-01,103.75,47.49,3.232,86940462,1013326,1869072
2016-12-01,88.4,52.23,3.93,118746842,1037462,2035406
2017-01-01,83.75,52.42,3.391,115332808,1046564,2045775
2017-02-01,80,54.06,2.627,86822190,977644,1591883
2017-03-01,80.75,47.34,3.175,89364620,1060248,1655495
2017-04-01,83.55,50.27,3.142,81335313,1001360,1290668
2017-05-01,74.45,50.73,3.236,92776541,1055752,1816995
2017-06-01,81,43.23,3.067,107508322,992976,1892864
2017-07-01,87.2,46.79,2.969,127697820,1047488,1809594
2017-08-01,98.6,47.64,2.961,119488385,1133260,1733107
2017-09-01,97.25,50.41,2.974,98202046,1059443,1643037
2017-10-01,97.45,51.47,2.752,89775524,998167,1545345
2017-11-01,96.55,56.09,3.074,90986339,1001041,1669858
2017-12-01,100.8,57.46,2.738,106545367,1095024,2695323
2018-01-01,106.5,63.49,3.631,119284115,1096622,6519897
2018-02-01,105.1,61.9,2.639,82050182,1092121,1557624
2018-03-01,96.4,63.4,2.691,80625663,1158370,1471840
2018-04-01,93.65,68.38,2.821,73346006,1098511,1538279
2018-05-01,105.45,72.13,2.875,85227300,1167264,1556805
2018-06-01,114.4,66.22,2.996,101503427,1091260,1900568
2018-07-01,119.9,70.46,2.822,115376376,1171620,1901008
2018-08-01,118,67.35,2.895,115129456,1301002,1926706
2018-09-01,113.85,70.8,3.021,96543992,1104358,1854029
2018-10-01,109.65,69.17,3.185,87263627,1016002,1576709
2018-11-01,101.7,56.76,4.715,92818594,1045119,1661133
2018-12-01,101.9,47.2,3.642,100318600,1120499,1761020
2019-01-01,98.75,52.57,2.95,100904705,1024676,2220554
2019-02-01,95.05,56.92,2.855,79929409,947634,1514063
2019-03-01,92.75,59.83,2.713,78351571,1085548,1400586
2019-04-01,85.2,65.7,2.566,59922460,947682,1188732
2019-05-01,83.4,62.99,2.633,71884625,1054012,1684703
2019-06-01,70.9,56.65,2.291,78539507,1009041,1528686
2019-07-01,74.25,56.22,2.141,100770785,1185362,1800265
2019-08-01,65.75,56.34,2.251,94039702,1147351,1738472
2019-09-01,65.55,58.09,2.428,85706691,1111970,1512170
2019-10-01,67.65,54.16,2.597,66777231,923964,1150623
2019-11-01,67.85,57.11,2.47,75549338,1046536,1240050
2019-12-01,66.55,61.22,2.158,72580736,1107318,1459272
2020-01-01,68.5,58.34,1.877,65139759,1155423,1548373
2020-02-01,67.4,53.78,1.821,56201468,1152064,1289148
2020-03-01,66.65,22.43,1.634,50730628,1047384,1395139
2020-04-01,61.1,10.01,1.794,40675202,802062,1239419
2020-05-01,52,32.5,1.722,46526626,884258,1301418
2020-06-01,53.5,40.46,1.495,65283170,866538,1618276
2020-07-01,51.95,41.96,1.854,89709483,937327,1751327
2020-08-01,49.75,42.58,2.579,91145411,1093539,1674322
2020-09-01,52.8,39.6,2.101,68406745,1012924,1194016
2020-10-01,58.2,41.46,2.996,59804589,917747,1227145
2020-11-01,63.9,42.15,2.896,61182186,949818,1411539
2020-12-01,79.85,47.74,2.467,78587629,999396,1690894
2021-01-01,86.2,53.24,2.76,81239779,1034865,1634922
2021-02-01,85.1,61.49,2.854,87470500,819639,2248239
2021-03-01,93.95,61.55,2.586,61903964,860147,1435750
2021-04-01,93.3,62.44,2.925,53956134,870929,1224455
2021-05-01,106,62.05,2.984,63872720,914346,1369620
2021-06-01,127.7,73.06,3.617,87264602,973797,1385559
2021-07-01,149.75,67.42,4.044,101536537,1046387,1563869
2021-08-01,170.95,62.32,4.37,101854599,1030513,1944991
2021-09-01,181.5,70.56,5.841,78876840,984188,1588977
2021-10-01,223.45,83.87,6.202,62572143,1062116,1549587
2021-11-01,157.5,76.1,5.447,57312865,870791,1670277
2021-12-01,169.6,68.23,4.024,60024596,929520,1559887
2022-01-01,227.65,86.9,6.265,87588227,1004745,3669271
2022-02-01,238.6,92.35,4.568,70966378,885934,1735500
2022-03-01,327.15,111.76,5.336,61018774,952981,1458737
2022-04-01,326.6,102.75,7.267,55329134,921069,1277061
2022-05-01,406.65,113.23,8.908,62531744,1036420,1430772
2022-06-01,397,110.65,6.551,73463104,986728,1580308
2022-07-01,407.9,102.26,8.687,86414971,1083484,1532484
2022-08-01,417.4,90.23,9.353,85214650,1008195,1576996
2022-09-01,433.7,84.45,6.868,64998319,986520,1590029
2022-10-01,385.7,85.98,5.186,54228457,967826,1561444
2022-11-01,349.4,79.73,6.712,56376963,910746,1479354
2022-12-01,404.15,76.09,4.709,73380892,977642,4039286
2023-01-01,358.1,81.31,3.109,61357033,944909,1404287
2023-02-01,209.2,76.16,2.451,46374160,891338,1628444
2023-03-01,177.25,69.33,1.991,50095603,1028280,1238123
2023-04-01,189.7,77.29,2.117,40232605,866363,1169065
2023-05-01,160,71.99,2.181,43803659,1011409,1209959
2023-06-01,128.05,70.5,2.603,57771500,974200,1267148
2023-07-01,134.45,75.63,2.492,78903217,1045821,1615165
2023-08-01,149.4,80.35,2.556,78111713,1087710,1609273
2023-09-01,160.1,90.28,2.764,59958865,983422,1485888
2023-10-01,135.2,88.75,3.164,50932743,923533,1283215
2023-11-01,122,77.6,2.706,51209356,958603,1084584
2023-12-01,146.4,73.44,2.619,56364824,1062207,1237870
2024-01-01,127.1,75.19,2.49,75690968,1071377,1863018
2024-02-01,119.4,78.18,1.615,44058096,766234,980611
2024-03-01,129.1,81.68,1.575,38389642,718792,976467
2024-04-01,129.75,82.85,1.614,37323498,766672,1163440
2024-05-01,142.4,79.26,2.493,45914363,773873,1187513
2024-06-01,133.45,82.17,2.628,61393134,880229,1315874
2024-07-01,134.8,79.78,1.907,71686642,854108,1446217
2024-08-01,146.2,74.04,1.93,68838498,861453,1461060
2024-09-01,139.75,71.92,2.585,NA,NA,NA
2024-10-01,144.9,72.09,2.346,NA,NA,NA
2024-11-01,141.75,68.87,3.334,NA,NA,NA
2024-12-01,143,70.59,3.489,NA,NA,NA
2025-01-01,143,70.11,3.327,NA,NA,NA
2025-02-01,146.65,69.76,3.021,NA,NA,NA
2025-03-01,148.15,69.5,2.958,NA,NA,NA
2025-04-01,149.4,69.32,3.038,NA,NA,NA
2025-05-01,149.75,69.13,3.181,NA,NA,NA
2025-06-01,150.5,68.92,3.333,NA,NA,NA
2025-07-01,152.3,68.69,3.368,NA,NA,NA
2025-08-01,153.35,68.96,3.352,NA,NA,NA
2025-09-01,154.5,68.26,3.434,NA,NA,NA
2025-10-01,156.75,68.57,3.688,NA,NA,NA
2025-11-01,157.4,67.77,4.118,NA,NA,NA
2025-12-01,157.5,68.08,4.365,NA,NA,NA
2026-01-01,156,67.84,4.181,NA,NA,NA
2026-02-01,154.9,67.64,3.68,NA,NA,NA
2026-03-01,154,67.45,3.37,NA,NA,NA
2026-04-01,153.25,67.28,3.392,NA,NA,NA
2026-05-01,152.55,66.62,3.542,NA,NA,NA
2026-06-01,152.4,66.93,3.603,NA,NA,NA
2026-07-01,152.4,66.75,3.637,NA,NA,NA
2026-08-01,152.5,66.6,3.608,NA,NA,NA
2026-09-01,152.45,66.47,3.736,NA,NA,NA
2026-10-01,152.05,66.34,3.896,NA,NA,NA
2026-11-01,151.95,65.76,4.3,NA,NA,NA
2026-12-01,151.7,66.04,4.535,NA,NA,NA
2027-01-01,150.65,65.89,4.274,NA,NA,NA
2027-02-01,150.2,65.76,3.705,NA,NA,NA
2027-03-01,149.9,65.64,3.273,NA,NA,NA
2027-04-01,149.6,65.56,3.292,NA,NA,NA
2027-05-01,149.4,65.48,3.413,NA,NA,NA
2027-06-01,149.45,65.35,3.54,NA,NA,NA
2027-07-01,149.65,65.23,3.572,NA,NA,NA
2027-08-01,149.9,65.14,3.541,NA,NA,NA
2027-09-01,150.05,65.06,3.613,NA,NA,NA
2027-10-01,150.2,65.02,3.885,NA,NA,NA
2027-11-01,150.4,64.83,4.254,NA,NA,NA
2027-12-01,150.75,64.88,4.448,NA,NA,NA
2028-01-01,150.55,64.77,4.239,NA,NA,NA
2028-02-01,150.35,64.71,3.611,NA,NA,NA
2028-03-01,150.05,64.65,3.148,NA,NA,NA
2028-04-01,149.7,64.56,3.133,NA,NA,NA
2028-05-01,149.55,64.54,3.266,NA,NA,NA
2028-06-01,149.55,64.48,3.394,NA,NA,NA
2028-07-01,149.75,64.45,3.458,NA,NA,NA
2028-08-01,150,64.37,3.413,NA,NA,NA
2028-09-01,150.2,64.29,3.478,NA,NA,NA
2028-10-01,150.35,64.28,3.715,NA,NA,NA
2028-11-01,150.55,64.21,4.108,NA,NA,NA
2028-12-01,150.65,64.09,4.313,NA,NA,NA
2029-01-01,150.65,64.06,4.081,NA,NA,NA
2029-02-01,150.5,63.99,3.417,NA,NA,NA
2029-03-01,150.2,63.94,2.903,NA,NA,NA
2029-04-01,149.9,63.87,2.925,NA,NA,NA
2029-05-01,149.7,63.91,3.082,NA,NA,NA
2029-06-01,149.7,63.8,3.254,NA,NA,NA
2029-07-01,149.9,63.78,3.305,NA,NA,NA
2029-08-01,150.15,63.75,3.286,NA,NA,NA
2029-09-01,150.35,63.73,3.371,NA,NA,NA
2029-10-01,150.5,63.71,3.628,NA,NA,NA
2029-11-01,150.7,63.7,4.043,NA,NA,NA
2029-12-01,150.85,63.64,4.251,NA,NA,NA
